particle,label,energy_mev,n_events,mean_adc,adc_stderr,triggered_fraction,mean_edep_mev
mu-,Muon,500,1500,170.02,1.17336,1,2.21939
mu-,Muon,900.824,1500,170.867,1.1531,1,2.22721
mu-,Muon,1622.97,1500,171.103,1.11511,1,2.23146
mu-,Muon,2924.01,1500,172.846,1.1649,1,2.25292
mu-,Muon,5268.04,1500,172.868,1.15522,1,2.26008
mu-,Muon,9491.2,1500,174.505,1.23258,1,2.27493
mu-,Muon,17099.8,1500,173.157,1.13782,1,2.25247
mu-,Muon,30807.8,1500,173.6,1.21838,1,2.26449
mu-,Muon,55504.8,1500,173.665,1.19891,1,2.2632
mu-,Muon,100000,1500,173.638,1.23483,1,2.26375
e-,Electron,0.5,3000,36.12,0.153871,0.968333,0.477824
e-,Electron,1.16346,3000,84.4137,0.345818,0.985,1.10637
e-,Electron,2.70727,3000,187.68,0.902707,0.994333,2.44597
e-,Electron,6.29959,3000,179.577,1.08266,0.995667,2.33751
e-,Electron,14.6586,3000,174.695,0.971103,0.998667,2.27378
e-,Electron,34.1096,3000,173.144,0.914543,0.999667,2.25272
e-,Electron,79.3703,3000,172.374,0.876393,1,2.24606
e-,Electron,184.688,3000,172.36,0.834021,1,2.24811
e-,Electron,429.753,3000,173.311,0.834021,1,2.26089
e-,Electron,1000,3000,173.725,0.862874,1,2.26559
gamma,Photon,1,20000,2.60915,0.0739113,0.06245,0.0346353
gamma,Photon,2.15443,20000,3.69885,0.132388,0.04835,0.0484249
gamma,Photon,4.64158,20000,3.4549,0.161211,0.0322,0.0450575
gamma,Photon,9.99998,20000,2.72215,0.155398,0.023,0.0358634
gamma,Photon,21.5443,20000,2.46045,0.154537,0.01855,0.0416603
gamma,Photon,46.416,20000,2.495,0.163081,0.01685,0.0396947
gamma,Photon,100,20000,2.9141,0.22933,0.0167,0.0426067
gamma,Photon,215.444,20000,3.1379,0.199232,0.01765,0.0436662
gamma,Photon,464.159,20000,3.40905,0.220813,0.01865,0.0451785
gamma,Photon,1000,20000,3.52385,0.217234,0.01935,0.0475747
gamma,Photon (interacted),1,1629,32.0338,0.494912,0.766728,0.425233
gamma,Photon (interacted),2.15443,1110,66.6459,1.38274,0.871171,0.87252
gamma,Photon (interacted),4.64158,732,94.3962,2.77187,0.879781,1.23108
gamma,Photon (interacted),9.99998,512,106.334,3.91885,0.898438,1.40091
gamma,Photon (interacted),21.5443,411,119.73,4.73717,0.902676,2.02726
gamma,Photon (interacted),46.416,355,140.563,5.46113,0.949296,2.23632
gamma,Photon (interacted),100,354,164.638,9.63901,0.943503,2.40716
gamma,Photon (interacted),215.444,372,168.704,6.30471,0.948925,2.34765
gamma,Photon (interacted),464.159,396,172.174,7.14964,0.941919,2.28174
gamma,Photon (interacted),1000,414,170.234,6.45577,0.934783,2.29829
